Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Screens,Budget,Revenue,Profit_Factor,Year,Duration,Rating,Votes
Aashayein,Normal,No,No,drama,No,No,No,John Abraham,Nagesh Kukunoor,Salim - Sulaiman,425,180000000,34675000,0.192638889,2010,120,7.1,1259
Bumm Bumm Bole,Normal,No,No,drama,No,No,Yes,Atul Kulkarni,Priyadarshan,M.G. Sreekumar,325,70000000,13400000,0.191428571,2010,124,6.1,616
Aryan,Normal,No,No,drama,No,Yes,No,Sohail Khan,Abhishek Kapoor,Anand Raj Anand,125,70000000,13400000,0.191428571,1988,181,7.0,283
Barah Aana,Normal,No,No,drama,No,No,No,Naseeruddin Shah,Raja Krishna Menon,Shri Rangaras,125,45000000,8600000,0.191111111,2009,97,6.8,1166
Maatr,Normal,No,No,drama,No,Yes,Yes,Raveena Tandon,Ashtar Sayed,Fuzon,650,85000000,16200000,0.190588235,2017,113,4.5,399
Chalk N Duster,Holiday,No,No,drama,No,No,No,Shabana Azmi,Jayant Gilatar,Sandesh Shandilya,450,120000000,22200000,0.185,2016,130,6.5,676
Kisaan,Normal,No,No,drama,No,No,No,Arbaaz Khan,Puneet Sira,Daboo Malik,525,150000000,27600000,0.184,2009,100,5.3,286
The Film Emotional Atyachar,Normal,No,No,drama,No,Yes,Yes,Mohit Ahlawat,Akshay Shere,Mangesh Dhakde,300,60000000,11000000,0.183333333,2010,87,6.0,291
Damadamm!,Holiday,No,No,comedy,No,Yes,No,Himesh Reshammiya,Swapna Joshi,Himesh Reshammiya,225,50000000,9100000,0.182,2011,122,4.0,406
Happy Husbands,Normal,No,No,comedy,Yes,Yes,Yes,Anay,Anay,Anay,175,30000000,5400000,0.18,2011,134,3.2,22
One By Two,Normal,No,No,rom__com,No,Yes,No,Abhay Deol,Devika Bhagat,Shankar - Ehsaan - Loy,500,210000000,37700000,0.17952381,2014,139,4.2,722
Bas Ek Pal,Normal,No,No,drama,No,Yes,Yes,Jimmy Shergill,Onir,Vivek Philip,70,47500000,8400000,0.176842105,2006,150,5.9,503
Don Muthu Swami,Normal,No,No,comedy,No,No,No,Mithun Chakraborty,Ashim Samanta,Anu Malik,200,47500000,8400000,0.176842105,2008,112,4.7,60
Speed,Holiday,Yes,No,thriller,No,No,No,Zayed Khan,Vikram Bhatt,Pritam,200,90000000,15800000,0.175555556,2007,102,2.9,513
A Journey Of Samyak Buddha,Normal,No,No,drama,Yes,Yes,Yes,Abhishek Urade,Pravin Damle,Pravin Damle,8,2000000,350000,0.175,2013,127,7.3,17
The Stoneman Murders,Holiday,No,No,suspense,No,Yes,No,Kay Kay Menon,Manish Gupta,Siddharth - Suhas,175,47500000,8300000,0.174736842,2009,95,7.4,2808
Khullam Khulla Pyaar Karen,Holiday,No,No,comedy,No,No,No,Govinda,Harmesh Malhotra,Anand - Milind,60,67500000,11787500,0.17462963,2005,155,4.1,320
